# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
0.01000	7.29432e-02	2.16644e+01	1.00000e-02 
0.02000	4.82999e-02	1.44430e+01	1.00000e-02 
0.03000	3.38687e-02	9.71412e+00	1.00000e-02 
0.04000	2.46914e-02	6.63347e+00	1.00000e-02 
0.05000	1.85623e-02	4.57474e+00	1.00000e-02 
0.06000	1.42960e-02	3.17997e+00	1.00000e-02 
0.07000	1.12136e-02	2.21405e+00	1.00000e-02 
0.08000	8.93147e-03	1.54101e+00	1.00000e-02 
0.09000	7.19323e-03	1.06248e+00	1.00000e-02 
0.10000	5.85186e-03	7.23421e-01	1.00000e-02 
0.11000	4.79280e-03	4.78024e-01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
0.01000	7.29432e-02	2.16644e+01	1.00000e-02 
0.02000	4.82999e-02	1.44430e+01	1.00000e-02 
0.03000	3.38687e-02	9.71412e+00	1.00000e-02 
0.04000	2.46914e-02	6.63347e+00	1.00000e-02 
0.05000	1.85623e-02	4.57474e+00	1.00000e-02 
0.06000	1.42960e-02	3.17997e+00	1.00000e-02 
0.07000	1.12136e-02	2.21405e+00	1.00000e-02 
0.08000	8.93147e-03	1.54101e+00	1.00000e-02 
0.09000	7.19323e-03	1.06248e+00	1.00000e-02 
0.10000	5.85186e-03	7.23421e-01	1.00000e-02 
0.11000	4.79280e-03	4.78024e-01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
# nu = 1.000e-01 	  Nx = 32 	 Ny = 32 	 Nz = 32 
# time, energy, Divergence, dt 
0.00000e+00	1.17207e-01	3.15400e+01	1.00000e-02 
